i	X	R	MACH	THETA	massflow
0	0	1	1.17779	0	3.93017
1	0.000115146	0.999815	1.17793	0.0142295	3.92872
2	0.000460843	0.99926	1.17833	0.0567608	3.9244
3	0.00103843	0.998335	1.17901	0.127212	3.9172
4	0.00185042	0.997042	1.17996	0.224996	3.90712
5	0.00290049	0.99538	1.18118	0.349323	3.89419
6	0.00419348	0.99335	1.1827	0.499205	3.87841
7	0.00573538	0.990955	1.18451	0.67346	3.8598
8	0.00753329	0.988195	1.18662	0.870718	3.83837
9	0.00959544	0.985073	1.18904	1.08943	3.81416
10	0.0119311	0.981589	1.19179	1.32788	3.78719
11	0.0145506	0.977747	1.19487	1.58418	3.75748
12	0.0174652	0.973549	1.19829	1.85631	3.72507
13	0.0206871	0.968997	1.20206	2.14213	3.69
14	0.0242295	0.964094	1.20618	2.43935	3.6523
15	0.0281061	0.958842	1.21067	2.74562	3.61203
16	0.0323314	0.953247	1.21552	3.05853	3.56922
17	0.0369204	0.94731	1.22073	3.37561	3.52393
18	0.0418884	0.941036	1.2263	3.69437	3.47623
19	0.047251	0.934428	1.23222	4.01235	3.42617
20	0.053024	0.927491	1.23849	4.32714	3.37381
21	0.0592226	0.920228	1.24509	4.6364	3.31924
22	0.065862	0.912645	1.25201	4.93788	3.26254
23	0.0729568	0.904746	1.25921	5.22951	3.20378
24	0.0805207	0.896536	1.26669	5.50934	3.14306
25	0.0885663	0.888021	1.27441	5.77563	3.08047
26	0.0971052	0.879204	1.28234	6.02686	3.01613
27	0.106147	0.870093	1.29045	6.26173	2.95013
28	0.115701	0.860693	1.29871	6.47917	2.8826
29	0.125773	0.85101	1.30709	6.67837	2.81366
30	0.136367	0.841049	1.31554	6.85878	2.74343
31	0.147487	0.830818	1.32404	7.02008	2.67205
32	0.159132	0.820322	1.33255	7.16219	2.59964
33	0.171301	0.809568	1.34105	7.28524	2.52636
34	0.18399	0.798564	1.34949	7.3896	2.45233
35	0.197194	0.787315	1.35787	7.47579	2.3777
36	0.210903	0.77583	1.36615	7.5445	2.30262
37	0.225109	0.764116	1.37432	7.59653	2.22722
38	0.239801	0.75218	1.38237	7.63282	2.15166
39	0.254966	0.74003	1.3903	7.65433	2.07606
40	0.270589	0.727673	1.39809	7.66209	2.00057
41	0.286657	0.715119	1.40576	7.65715	1.92532
42	0.303153	0.702374	1.41331	7.64053	1.85044
43	0.320063	0.689448	1.42075	7.61322	1.77606
44	0.337369	0.676348	1.42811	7.57616	1.70231
45	0.355055	0.663084	1.4354	7.53023	1.6293
46	0.373106	0.649663	1.44265	7.4762	1.55715
47	0.391504	0.636096	1.44989	7.41478	1.48597
48	0.410235	0.622391	1.45714	7.34657	1.41586
49	0.429283	0.608557	1.46444	7.27207	1.34693
50	0.448634	0.594604	1.47183	7.19172	1.27927
51	0.468272	0.58054	1.47934	7.10582	1.21297
52	0.488185	0.566376	1.48699	7.01465	1.14813
53	0.508358	0.552122	1.49483	6.91838	1.08481
54	0.518569	0.537786	1.4918	6.6809	1.02748
55	0.538832	0.523379	1.49991	6.57725	0.967385
56	0.549073	0.508912	1.49759	6.34561	0.912954
57	0.559232	0.494394	1.49566	6.11855	0.859963
58	0.56931	0.479835	1.49413	5.89595	0.808463
59	0.579307	0.465246	1.49301	5.67769	0.758501
60	0.589224	0.450638	1.49229	5.46366	0.710122
61	0.59906	0.436021	1.49198	5.25374	0.663363
62	0.608817	0.421406	1.49209	5.04784	0.618261
63	0.618493	0.406804	1.4926	4.84587	0.574843
64	0.62809	0.392226	1.4935	4.64774	0.533134
65	0.637605	0.377683	1.49479	4.45341	0.493154
66	0.647039	0.363186	1.49646	4.26282	0.454918
67	0.656391	0.348748	1.49849	4.07592	0.418434
68	0.661024	0.334378	1.49669	3.86275	0.384414
69	0.670149	0.320089	1.49937	3.68454	0.351381
70	0.674667	0.305893	1.49835	3.48394	0.320666
71	0.679114	0.291802	1.49768	3.29008	0.291572
72	0.683491	0.277828	1.49733	3.10276	0.264093
73	0.687796	0.263984	1.49729	2.92178	0.238219
74	0.692029	0.250281	1.49752	2.74697	0.213936
75	0.696189	0.236733	1.498	2.57813	0.191222
76	0.700276	0.223353	1.49871	2.41506	0.170056
77	0.704288	0.210154	1.49964	2.25757	0.150406
78	0.706255	0.19715	1.49905	2.09877	0.132336
79	0.708179	0.184354	1.49866	1.94625	0.115682
80	0.710058	0.17178	1.49846	1.79977	0.10041
81	0.713725	0.159445	1.49999	1.66405	0.0864211
82	0.71462	0.147362	1.49933	1.52631	0.0738186
83	0.716361	0.135548	1.49956	1.39636	0.0624347
84	0.718052	0.124019	1.49991	1.27159	0.0522467
85	0.718873	0.112792	1.49965	1.15031	0.0432123
86	0.719666	0.101886	1.4995	1.03426	0.0352561
87	0.720431	0.091319	1.49944	0.923324	0.0283191
88	0.721168	0.0811128	1.49947	0.817406	0.0223397
89	0.721874	0.0712893	1.49956	0.716457	0.0172538
90	0.722548	0.0618726	1.49972	0.620479	0.0129947
91	0.723189	0.0528898	1.49992	0.529525	0.00949399
92	0.723493	0.044371	1.4999	0.443493	0.00668165
93	0.723777	0.0363508	1.49993	0.362881	0.00448425
94	0.72391	0.0288697	1.49989	0.287892	0.0028284
95	0.724153	0.0219768	1.49998	0.21904	0.00163893
96	0.724263	0.0157341	1.5	0.15675	0.000840045
97	0.724311	0.010224	1.49999	0.101826	0.000354698
98	0.724331	0.00556695	1.49999	0.0554352	0.00010516
99	0.724347	0.00196858	1.49999	0.019602	1.31499e-05
100	0.724356	0	1.5	0	0
